index,title,date,stock
569589,"Facebook, Snap Analyst Projects Q2 Revenue Upside For Social Media Stocks",2020-06-10 15:25:00-04:00,GOOGL
569590,"Twitter, Square Will Mark Juneteenth As Holiday To Honor African-American Culture",2020-06-10 00:28:00-04:00,GOOGL
569591,"Google Maps To Offer Relevant Local COVID-19 Information For Public Transport, Driving And Testing Centers",2020-06-09 03:51:00-04:00,GOOGL
569592,"Starting This Week, Testing Center Alerts Will Be Available On Google Maps In U.S.; New Google Maps Features Alert You Of Important COVID-19 Information And Help User Avoid Crowds On Public Transit",2020-06-08 11:25:00-04:00,GOOGL
569593,'A New Business Cycle': Stock Market Update For The Week Ahead,2020-06-07 14:29:00-04:00,GOOGL
569594,CNBC Publishes Article Titled: States are Leaning Toward a Push to Break Up Google's Ad Tech Business,2020-06-05 13:28:00-04:00,GOOGL
569595,Congress Is Stepping Up Its Efforts To Kill Payday Loans,2020-06-05 12:53:00-04:00,GOOGL
569596,Twitter Takes Down Trump Campaign's Video Tribute To George Floyd For Violating Copyright,2020-06-05 05:06:00-04:00,GOOGL
569597,UPDATE: Chinese Government-Linked Hackers Recently Attempted To Break Into Presidential Candidate Joe Biden,2020-06-04 13:08:00-04:00,GOOGL
569598,Iranian Government-Linked Hackers Recently Attempted To break Into U.S. President Trump's Campaign Staff Email Accounts,2020-06-04 13:07:00-04:00,GOOGL
569599,'Zoom in Talks With Google to Use Cybersecurity Service' -Earlier Report From The Information,2020-06-04 13:05:00-04:00,GOOGL
569600,SoftBank Will Start $100M Fund To Help Minorities Of Color In US,2020-06-04 07:07:00-04:00,GOOGL
569601,Twitter CEO Jack Dorsey To Donate $3M For Advancement Of Black And Brown Communities,2020-06-04 05:29:00-04:00,GOOGL
569602,DocuSign Rival Startup Gets $5M Seed Funding From Google,2020-06-04 03:04:00-04:00,GOOGL
569603,Fitbit Introduces Fitbit Flow Emergency Ventilator; Says Has Been Granted FDA Emergency Use Authorization,2020-06-03 16:06:00-04:00,GOOGL
569604,Google Takes Down 'Remove China Apps' With 5M Downloads,2020-06-03 09:02:00-04:00,GOOGL
569605,"Warner Music Set To Go Public Today, In Anticipated Largest US IPO Of The Year",2020-06-03 06:09:00-04:00,GOOGL
569606,Twitter To Appoint Former Google CFO As Chairperson After Investor Push,2020-06-03 05:57:00-04:00,GOOGL
569607,"Facebook, PayPal Join Google As Investors In Indonesian Tech Giant GoJek",2020-06-03 05:16:00-04:00,GOOGL
569608,Peloton Makes Its Fitness App Available On Apple TV After Pandemic Demand Surge,2020-06-03 04:57:00-04:00,GOOGL
