Student_ID,Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Sample_Question_Practiced,Gender,Performance_Index
1,7,99,Yes,9,1,Female,91
2,4,82,No,4,2,Female,65
3,8,51,Yes,7,2,Male,45
4,5,52,Yes,5,2,Male,36
5,7,75,No,8,5,Male,66
6,3,78,No,9,6,Male,61
7,7,73,Yes,5,6,Male,63
8,8,45,Yes,4,6,Male,42
9,5,77,No,8,2,Female,61
10,4,89,No,4,0,Female,69
11,8,91,No,4,5,Male,84
12,8,79,No,6,2,Female,73
13,3,47,No,9,2,Male,27
14,6,47,No,4,2,Male,33
15,5,79,No,7,8,Female,68
16,2,72,No,4,3,Male,43
17,8,73,Yes,8,4,Female,67
18,6,83,Yes,7,2,Female,70
19,2,54,Yes,4,9,Female,30
20,5,75,No,7,0,Male,63
21,1,99,Yes,4,3,Male,71
22,6,96,No,9,0,Female,85
23,9,74,Yes,7,6,Male,73
24,1,85,No,5,6,Female,57
25,3,61,No,6,3,Female,35
26,7,62,Yes,7,4,Male,49
27,4,79,No,8,9,Female,66
28,9,84,Yes,6,6,Male,83
29,3,94,Yes,6,5,Male,74
30,5,90,Yes,4,3,Female,74
31,3,61,Yes,7,3,Female,39
32,7,44,Yes,9,1,Female,36
33,5,70,Yes,6,9,Female,58
34,9,52,Yes,8,1,Female,47
35,7,67,Yes,9,3,Female,60
36,2,97,Yes,9,4,Male,74
37,4,59,No,8,3,Male,42
38,9,72,No,8,2,Female,68
39,2,55,Yes,4,1,Female,32
40,9,68,No,5,3,Female,64
41,5,62,No,7,4,Female,45
42,2,63,Yes,6,0,Female,39
43,4,73,Yes,7,0,Female,58
44,7,46,No,9,5,Female,36
45,8,77,Yes,6,4,Male,71
46,3,76,Yes,4,3,Female,54
47,1,43,Yes,7,0,Male,17
48,4,73,No,4,6,Male,54
49,2,81,Yes,4,3,Female,58
50,8,61,No,7,2,Male,53
51,4,44,Yes,7,6,Male,27
52,2,89,Yes,6,1,Female,65
53,6,81,No,9,9,Male,75
54,6,62,Yes,9,0,Male,52
55,4,93,No,8,3,Male,78
56,6,99,No,4,7,Male,91
57,2,54,Yes,9,5,Female,33
58,2,70,Yes,5,8,Male,47
59,4,98,No,6,0,Male,78
60,8,48,No,6,0,Male,38
61,7,82,Yes,8,4,Female,70
62,9,97,Yes,8,5,Male,98
63,8,92,Yes,4,7,Female,87
64,5,64,Yes,6,2,Female,49
65,2,64,Yes,6,5,Male,41
66,5,88,No,5,2,Male,71
67,8,60,No,4,7,Male,54
68,9,48,No,4,3,Male,42
69,9,94,No,9,1,Female,91
70,1,87,Yes,8,8,Male,61
71,9,77,No,9,9,Male,74
72,7,61,Yes,4,7,Female,54
73,9,82,Yes,5,5,Female,81
74,8,62,Yes,4,2,Female,52
75,1,88,Yes,9,1,Female,65
76,8,43,Yes,7,3,Male,36
77,8,68,No,7,3,Male,61
78,3,54,Yes,5,0,Male,35
79,1,40,Yes,8,8,Male,15
80,8,93,Yes,6,9,Female,88
81,3,69,No,4,7,Female,45
82,3,68,Yes,9,6,Female,49
83,1,59,Yes,8,5,Male,33
84,5,72,Yes,9,2,Female,60
85,7,80,No,8,3,Male,71
86,9,83,Yes,4,1,Female,81
87,7,75,No,6,6,Male,67
88,9,99,No,4,1,Male,95
89,8,61,Yes,6,9,Female,58
90,2,52,No,9,0,Female,29
91,1,46,No,5,5,Female,21
92,7,47,Yes,6,3,Female,38
93,7,67,Yes,8,7,Female,60
94,8,84,Yes,5,0,Female,76
95,5,82,Yes,9,8,Female,69
96,3,48,No,7,5,Male,30
97,8,64,No,5,1,Male,57
98,6,95,Yes,6,7,Female,81
99,3,55,Yes,5,4,Female,36
100,1,49,Yes,9,4,Male,25
101,3,50,No,5,4,Male,27
102,5,70,Yes,9,6,Male,61
103,3,51,No,7,6,Male,34
104,1,99,No,6,9,Male,76
105,5,70,No,8,6,Male,57
106,7,53,No,5,9,Female,45
107,7,90,Yes,4,1,Female,76
108,9,83,Yes,8,7,Female,83
109,3,71,Yes,5,0,Male,50
110,7,89,No,8,1,Female,81
111,1,92,No,4,6,Female,66
112,4,56,Yes,8,3,Male,38
113,4,74,No,8,9,Female,56
114,5,40,No,4,9,Male,25
115,7,68,No,4,8,Male,56
116,7,90,Yes,4,8,Female,82
117,4,43,Yes,7,2,Male,23
118,7,62,Yes,9,2,Female,56
119,3,67,No,9,8,Male,46
120,6,55,Yes,4,9,Male,43
121,2,51,Yes,9,7,Male,30
122,9,92,Yes,8,0,Male,92
123,5,60,No,4,5,Female,45
124,6,84,No,5,6,Male,70
125,4,56,No,4,7,Female,36
126,7,79,No,4,1,Female,71
127,9,52,No,9,0,Female,49
128,7,91,Yes,6,3,Male,82
129,1,97,Yes,8,0,Male,71
130,1,71,No,9,1,Female,43
131,9,76,No,8,2,Male,77
132,9,89,Yes,5,3,Male,86
133,4,54,No,7,5,Female,34
134,9,51,No,6,7,Male,49
135,3,88,No,5,8,Male,69
136,7,96,No,5,3,Male,84
137,6,54,No,8,0,Male,41
138,8,73,Yes,6,4,Male,68
